Genre,Name,Platform,Publisher,Rank,Year,% Europe,% Japan,% North America,% Other,Europe Sales,Global Sales,Japan Sales,North America Sales,Number of Video Games,Other Sales
Sports,Wii Sports,Wii,Nintendo,1,2006,35%,5%,50%,10%,29.02,82.74,3.77,41.49,1,8.46
Platform,"Super Mario Bros,",NES,Nintendo,2,1985,9%,17%,72%,2%,3.58,40.24,6.81,29.08,1,0.77
Racing,Mario Kart Wii,Wii,Nintendo,3,2008,36%,11%,44%,9%,12.88,35.82,3.79,15.85,1,3.31
Sports,Wii Sports Resort,Wii,Nintendo,4,2009,33%,10%,48%,9%,11.01,33,3.28,15.75,1,2.96
Role-Playing,Pokemon Red/Pokemon Blue,GB,Nintendo,5,1996,28%,33%,36%,3%,8.89,31.37,10.22,11.27,1,1
Puzzle,Tetris,GB,Nintendo,6,1989,7%,14%,77%,2%,2.26,30.26,4.22,23.2,1,0.58
Platform,"New Super Mario Bros,",DS,Nintendo,7,2006,31%,22%,38%,10%,9.23,30.01,6.5,11.38,1,2.9
Misc,Wii Play,Wii,Nintendo,8,2006,32%,10%,48%,10%,9.2,29.02,2.93,14.03,1,2.85
Platform,"New Super Mario Bros, Wii",Wii,Nintendo,9,2009,25%,16%,51%,8%,7.06,28.62,4.7,14.59,1,2.26
Shooter,Duck Hunt,NES,Nintendo,10,1984,2%,1%,95%,2%,0.63,28.31,0.28,26.93,1,0.47
Simulation,Nintendogs,DS,Nintendo,11,2005,44%,8%,37%,11%,11,24.76,1.93,9.07,1,2.75
Racing,Mario Kart DS,DS,Nintendo,12,2005,32%,18%,42%,8%,7.57,23.42,4.13,9.81,1,1.92
Role-Playing,Pokemon Gold/Pokemon Silver,GB,Nintendo,13,1999,27%,31%,39%,3%,6.18,23.1,7.2,9,1,0.71
Sports,Wii Fit,Wii,Nintendo,14,2007,35%,16%,39%,9%,8.03,22.72,3.6,8.94,1,2.15
Sports,Wii Fit Plus,Wii,Nintendo,15,2009,39%,12%,41%,8%,8.59,22,2.53,9.09,1,1.79
Misc,Kinect Adventures!,X360,Microsoft Game Studios,16,2010,23%,1%,69%,8%,4.94,21.82,0.24,14.97,1,1.67
Action,Grand Theft Auto V,PS3,Take-Two Interactive,17,2013,43%,5%,33%,19%,9.27,21.4,0.97,7.01,1,4.14
Action,Grand Theft Auto: San Andreas,PS2,Take-Two Interactive,18,2004,2%,2%,45%,51%,0.4,20.81,0.41,9.43,1,10.57
Platform,Super Mario World,SNES,Nintendo,19,1990,18%,17%,62%,3%,3.75,20.61,3.54,12.78,1,0.55
Misc,Brain Age: Train Your Brain in Minutes a Day,DS,Nintendo,20,2005,46%,21%,23%,10%,9.26,20.22,4.16,4.75,1,2.05
Role-Playing,Pokemon Diamond/Pokemon Pearl,DS,Nintendo,21,2006,25%,33%,35%,7%,4.52,18.36,6.04,6.42,1,1.37
Platform,Super Mario Land,GB,Nintendo,22,1989,15%,23%,60%,2%,2.71,18.14,4.18,10.83,1,0.42
Platform,"Super Mario Bros, 3",NES,Nintendo,23,1988,20%,22%,55%,3%,3.44,17.28,3.84,9.54,1,0.46
Action,Grand Theft Auto V,X360,Take-Two Interactive,24,2013,32%,0%,59%,8%,5.31,16.38,0.06,9.63,1,1.38
Action,Grand Theft Auto: Vice City,PS2,Take-Two Interactive,25,2002,34%,3%,52%,11%,5.49,16.15,0.47,8.41,1,1.78
Role-Playing,Pokemon Ruby/Pokemon Sapphire,GBA,Nintendo,26,2002,25%,34%,38%,3%,3.9,15.85,5.38,6.06,1,0.5
Role-Playing,Pokemon Black/Pokemon White,DS,Nintendo,27,2010,21%,37%,36%,5%,3.28,15.32,5.65,5.57,1,0.82
Puzzle,Brain Age 2: More Training in Minutes a Day,DS,Nintendo,28,2005,35%,35%,22%,8%,5.36,15.3,5.32,3.44,1,1.18
Racing,Gran Turismo 3: A-Spec,PS2,Sony Computer Entertainment,29,2001,34%,12%,46%,8%,5.09,14.98,1.87,6.85,1,1.16
Shooter,Call of Duty: Modern Warfare 3,X360,Activision,30,2011,29%,1%,61%,9%,4.28,14.76,0.13,9.03,1,1.32
Role-Playing,Pok̩mon Yellow: Special Pikachu Edition,GB,Nintendo,31,1998,34%,21%,40%,4%,5.04,14.64,3.12,5.89,1,0.59
Shooter,Call of Duty: Black Ops,X360,Activision,32,2010,25%,1%,66%,8%,3.73,14.64,0.11,9.67,1,1.13
Role-Playing,Pokemon X/Pokemon Y,3DS,Nintendo,33,2013,28%,30%,36%,6%,4.05,14.35,4.34,5.17,1,0.79
Shooter,Call of Duty: Black Ops 3,PS4,Activision,34,2015,41%,2%,41%,16%,5.81,14.24,0.35,5.77,1,2.31
Shooter,Call of Duty: Black Ops II,PS3,Activision,35,2012,42%,5%,36%,18%,5.88,14.03,0.65,4.99,1,2.52
Shooter,Call of Duty: Black Ops II,X360,Activision,36,2012,31%,1%,60%,8%,4.3,13.73,0.07,8.25,1,1.12
Shooter,Call of Duty: Modern Warfare 2,X360,Activision,37,2009,27%,1%,63%,10%,3.63,13.51,0.08,8.52,1,1.29
Shooter,Call of Duty: Modern Warfare 3,PS3,Activision,38,2011,43%,4%,41%,12%,5.82,13.46,0.49,5.54,1,1.62
Action,Grand Theft Auto III,PS2,Take-Two Interactive,39,2001,34%,2%,53%,10%,4.51,13.1,0.3,6.99,1,1.3
Fighting,"Super Smash Bros, Brawl",Wii,Nintendo,40,2008,20%,20%,52%,8%,2.61,13.04,2.66,6.75,1,1.02
Shooter,Call of Duty: Black Ops,PS3,Activision,41,2010,35%,4%,47%,14%,4.44,12.73,0.48,5.98,1,1.83
Simulation,Animal Crossing: Wild World,DS,Nintendo,42,2005,29%,43%,21%,7%,3.52,12.27,5.33,2.55,1,0.88
Racing,Mario Kart 7,3DS,Nintendo,43,2011,32%,22%,39%,7%,3.91,12.21,2.67,4.74,1,0.89
Shooter,Halo 3,X360,Microsoft Game Studios,44,2007,23%,1%,66%,10%,2.83,12.14,0.13,7.97,1,1.21
Action,Grand Theft Auto V,PS4,Take-Two Interactive,45,2014,48%,3%,32%,17%,5.81,11.98,0.36,3.8,1,2.02
Action,Pokemon HeartGold/Pokemon SoulSilver,DS,Nintendo,46,2009,23%,33%,37%,6%,2.77,11.9,3.96,4.4,1,0.77
Platform,Super Mario 64,N64,Nintendo,47,1996,24%,16%,58%,2%,2.85,11.89,1.91,6.91,1,0.23
Racing,Gran Turismo 4,PS2,Sony Computer Entertainment,48,2004,0%,9%,26%,65%,0.01,11.66,1.1,3.01,1,7.53
Platform,Super Mario Galaxy,Wii,Nintendo,49,2007,30%,10%,53%,7%,3.4,11.52,1.2,6.16,1,0.76
Role-Playing,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,Nintendo,50,2014,30%,27%,37%,6%,3.37,11.33,3.08,4.23,1,0.65
Adventure,Super Mario Land 2: 6 Golden Coins,GB,Nintendo,51,1992,18%,24%,55%,3%,2.04,11.18,2.69,6.16,1,0.29
Action,Grand Theft Auto IV,X360,Take-Two Interactive,52,2008,28%,1%,61%,9%,3.1,11.02,0.14,6.76,1,1.03
Racing,Gran Turismo,PS,Sony Computer Entertainment,53,1997,35%,23%,37%,5%,3.87,10.95,2.54,4.02,1,0.52
Platform,Super Mario 3D Land,3DS,Nintendo,54,2011,28%,20%,45%,7%,2.99,10.79,2.13,4.89,1,0.78
Racing,Gran Turismo 5,PS3,Sony Computer Entertainment,55,2010,45%,8%,27%,20%,4.88,10.77,0.81,2.96,1,2.12
Shooter,Call of Duty: Modern Warfare 2,PS3,Activision,56,2009,35%,4%,47%,15%,3.69,10.69,0.38,4.99,1,1.63
Action,Grand Theft Auto IV,PS3,Take-Two Interactive,57,2008,36%,4%,45%,15%,3.76,10.57,0.44,4.76,1,1.62
Platform,Super Mario All-Stars,SNES,Nintendo,58,1993,20%,20%,57%,3%,2.15,10.55,2.12,5.99,1,0.29
Role-Playing,Pokemon FireRed/Pokemon LeafGreen,GBA,Nintendo,59,2004,25%,30%,41%,3%,2.65,10.49,3.15,4.34,1,0.35
Platform,Super Mario 64,DS,Nintendo,60,2004,30%,12%,49%,9%,3.11,10.42,1.25,5.08,1,0.98
Misc,Just Dance 3,Wii,Ubisoft,61,2011,31%,0%,59%,10%,3.15,10.26,0,6.05,1,1.07
Shooter,Call of Duty: Ghosts,X360,Activision,62,2013,26%,0%,66%,8%,2.63,10.21,0.04,6.72,1,0.82
Shooter,Halo: Reach,X360,Microsoft Game Studios,63,2010,20%,1%,71%,8%,1.98,9.88,0.08,7.03,1,0.78
Racing,Mario Kart 64,N64,Nintendo,64,1996,20%,23%,56%,2%,1.94,9.87,2.23,5.55,1,0.15
Platform,"New Super Mario Bros, 2",3DS,Nintendo,65,2012,31%,25%,37%,6%,3.07,9.82,2.47,3.66,1,0.63
Shooter,Halo 4,X360,Microsoft Game Studios,66,2012,24%,0%,68%,7%,2.36,9.76,0.04,6.63,1,0.73
Role-Playing,Final Fantasy VII,PS,Sony Computer Entertainment,67,1997,25%,34%,31%,10%,2.47,9.72,3.28,3.01,1,0.96
Shooter,Call of Duty: Ghosts,PS3,Activision,68,2013,39%,4%,43%,14%,3.73,9.59,0.38,4.09,1,1.38
Misc,Just Dance 2,Wii,Ubisoft,69,2010,30%,0%,61%,8%,2.89,9.52,0.01,5.84,1,0.78
Racing,Gran Turismo 2,PS,Sony Computer Entertainment,70,1999,36%,18%,41%,5%,3.42,9.49,1.69,3.88,1,0.5
Shooter,Call of Duty 4: Modern Warfare,X360,Activision,71,2007,26%,1%,63%,10%,2.38,9.32,0.13,5.91,1,0.9
Platform,Donkey Kong Country,SNES,Nintendo,72,1994,18%,32%,47%,2%,1.71,9.3,3,4.36,1,0.23
Misc,Minecraft,X360,Microsoft Game Studios,73,2013,31%,0%,61%,8%,2.83,9.2,0.02,5.58,1,0.77
Simulation,Animal Crossing: New Leaf,3DS,Nintendo,74,2012,26%,48%,22%,5%,2.32,9.09,4.36,2.01,1,0.41
Misc,Mario Party DS,DS,Nintendo,75,2007,21%,22%,49%,8%,1.88,9.02,1.98,4.46,1,0.7
